Date de la transaction,Code de la transaction,Type de transaction,Référence,Référence du paiement,Statut,Montant facturé débité,Montant facturé crédité,Devise de la carte,Montant de la transaction débité,Montant de la transaction crédité,Devise de la transaction,Taux de change,Frais,Solde disponible
26/11/2023 13:59,COG4ZKQB5P,Paiement entrant SumUp,PID 389944,,Entrant,0.00,26.53,EUR,0.00,26.53,EUR,1.00,0.00,592.17
14/11/2023 23:05,COE6MN3LRE,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,19.99,0.00,EUR,19.99,0.00,EUR,1.00,0.00,565.64
08/11/2023 13:41,COJK7MYKY6,Paiement entrant SumUp,PID 380626,,Entrant,0.00,95.30,EUR,0.00,95.30,EUR,1.00,0.00,585.63
04/11/2023 08:03,CDYJ2VBK3P,Rembourser,AMZN Mktp FR amazon.fr LU,,Remboursé,0.00,10.50,EUR,0.00,10.50,EUR,1.00,0.00,490.33
31/10/2023 10:53,C93ZP7Y7NM,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,20.99,0.00,EUR,20.99,0.00,EUR,1.00,0.00,479.83
17/10/2023 08:59,COZNBZQGLY,Paiement en ligne,LW - YAPLA            PARIS           FR,,Approuvé,50.00,0.00,EUR,50.00,0.00,EUR,1.00,0.00,500.82
30/09/2023 13:44,C96GL52NEW,Paiement entrant SumUp,PID 360330,,Entrant,0.00,79.95,EUR,0.00,79.95,EUR,1.00,0.00,550.82
25/08/2023 11:26,CDVY6EXZQV,Paiement POS,SumUp  *LATELIER DE LAMIONS           FR,,Approuvé,24.00,0.00,EUR,24.00,0.00,EUR,1.00,0.00,470.87
18/08/2023 15:49,CDWMQQ7K4E,Paiement POS,VETEMENTPRO.COM       LYON 9EME       FR,,Approuvé,144.91,0.00,EUR,144.91,0.00,EUR,1.00,0.00,494.87
06/12/2022 13:57,CD367YQXZD,Paiement POS,RETIF                 LYON            FR,,Approuvé,40.56,0.00,EUR,40.56,0.00,EUR,1.00,0.00,639.78
28/11/2022 13:31,CO4GQQBGJD,Paiement entrant SumUp,PID 214074,,Entrant,0.00,353.68,EUR,0.00,353.68,EUR,1.00,0.00,680.34
27/11/2022 13:41,CD222K4L3D,Paiement entrant SumUp,PID 213589,,Entrant,0.00,326.66,EUR,0.00,326.66,EUR,1.00,0.00,326.66
